Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,True_Negative,False_Positive,False_Negative,True_Positive
Tuned XGBoost,0.7338537970191625,0.4991922455573506,0.8262032085561497,0.622356495468278,0.8471854090779922,0.6632417995017891,725,310,65,309
Logistic Regression,0.7459190915542938,0.5138888888888888,0.7914438502673797,0.6231578947368421,0.8447957839262188,0.6492428828292949,755,280,78,296
Random Forest,0.758694109297374,0.5309090909090909,0.7807486631016043,0.6320346320346321,0.8424733266165491,0.6510227825135738,777,258,82,292
Support Vector Machine,0.7849538679914834,0.5926892950391645,0.606951871657754,0.5997357992073976,0.833432793407218,0.6269057745279248,879,156,147,227
