Model,ROC_AUC,Accuracy,Precision,Recall,F1_Score
Tuned XGBoost,0.8471854090779922,0.7338537970191625,0.4991922455573506,0.8262032085561497,0.622356495468278
Logistic Regression,0.8447957839262188,0.7459190915542938,0.5138888888888888,0.7914438502673797,0.6231578947368421
Random Forest,0.8424733266165491,0.758694109297374,0.5309090909090909,0.7807486631016043,0.6320346320346321
Support Vector Machine,0.833432793407218,0.7849538679914834,0.5926892950391645,0.606951871657754,0.5997357992073976
XGBoost Baseline,0.8025433361750497,0.765791341376863,0.5607734806629834,0.5427807486631016,0.5516304347826086
