Threshold,Accuracy,Precision,Recall,F1_Score
0.1,0.49112845990063875,0.3419354838709677,0.9919786096256684,0.5085675119945168
0.15,0.5408090844570618,0.36390827517447655,0.9759358288770054,0.5301379811183733
0.2,0.5791341376863024,0.3831376734258271,0.9598930481283422,0.547673531655225
0.25,0.6082327892122072,0.4,0.9518716577540107,0.5632911392405063
0.3,0.6373314407381121,0.4175691937424789,0.9278074866310161,0.5759336099585062
0.35,0.6678495386799148,0.43943298969072164,0.9117647058823529,0.5930434782608696
0.4,0.6919801277501775,0.4584487534626039,0.8850267379679144,0.6040145985401459
0.45,0.7125621007806955,0.4767616191904048,0.8502673796791443,0.6109510086455331
0.5,0.7338537970191625,0.4991922455573506,0.8262032085561497,0.622356495468278
0.55,0.7466288147622427,0.5147826086956522,0.7914438502673797,0.6238145416227608
0.6,0.765791341376863,0.5415094339622641,0.767379679144385,0.6349557522123894
0.65,0.78708303761533,0.5814977973568282,0.7058823529411765,0.6376811594202898
0.7,0.7991483321504613,0.6206896551724138,0.6256684491978609,0.6231691078561917
0.75,0.8019872249822569,0.6588628762541806,0.5267379679144385,0.5854383358098069
0.8,0.7998580553584103,0.7211538461538461,0.40106951871657753,0.5154639175257731
0.85,0.7785663591199432,0.7313432835820896,0.2620320855614973,0.3858267716535433
0.9,0.7608232789212207,0.8363636363636363,0.12299465240641712,0.21445221445221446
