Model,ROC_AUC,Accuracy,Precision,Recall,F1_Score
Tuned XGBoost,0.834942084942085,0.7280453257790368,0.49324324324324326,0.776595744680851,0.6033057851239669
Logistic Regression,0.8347983241600263,0.7365439093484419,0.5035460992907801,0.7553191489361702,0.6042553191489362
Random Forest,0.8328678222295244,0.7677053824362606,0.5491803278688525,0.7127659574468085,0.6203703703703703
Support Vector Machine,0.7997206933377147,0.7535410764872521,0.5275590551181102,0.7127659574468085,0.6063348416289592
XGBoost Baseline,0.7988170541362031,0.7762039660056658,0.5862068965517241,0.5425531914893617,0.56353591160221
